en,English
es,Espanishol
fr,Francis
it,Italiano
de,Deutsch
tr,Trrke
el,England
zh,zeh
th,Thailand
is,Idslenska
ru,PRheuzaki
sv,svenska
ro,RomRomania
ja,Jar
la,Latin
hi,Hi Lang
pt,Portugus
bo,Bosanski
fa,Franc
ur,Ha
ar,Arm
sa,San
gd,Gaasovia
cs,Cas
cn,Cnn
ko,ko Lna
no,Norsk
ta,Tare
nv,Navaria
he,Heena Lan
da,Dansk
nl,Nederlands
af,Afrikaans
ga,Gaeilge
so,Somali
fi,suomi
sw,Kiswahili
bg,Bigsh
yi,Yoguslav
vi,Tibbfng Vibc7t
hu,Magyar
uk,UnitedKingdom
eo,Esperanto
am,
km,
ce,
pl,Polski
co,
pa,Pa Lang
et,Eesti
sq,shqip
sr,Srpski
bs,Bosanski
hr,Hrvatski
tl,
sh,
sk,Slovenaina
kk,kakka
ml,
te,Tel
cy,Cymraeg
hy,
iu,
wo,Wolof
xh,
ny,
st,
zu,isiZulu
kw,
si,
ne,
ps,Pas
mn,
xx,No Language
gl,Galego
ka,Kas Lang
bn,Bang
ku,
mi,
to,
ca,Catal
br,
dz,
ky,??????
id,Bahasa indonesia
bm,Bamanankan
sl,Slovenaina
